dyad_id,scenario_id,scenario_type,cond_a,cond_b,role_a,role_b,replicate,model_a,model_b,deal,deal_terms_json,rounds_to_deal,value_claimed_a,value_claimed_b,points_a,points_b,value_created,split,warmth_a_mean,dominance_a_mean,warmth_b_mean,dominance_b_mean,svi_a_mean,svi_b_mean,cost_usd_est,notes,mock
merger_NEU_NEU_acq_fou_r00_e152f9,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,0,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,0.0,0.0,27.5,78.5,0.04036000000000001,Impasse: both agents take BATNA.,0
merger_NEU_NEU_acq_fou_r01_a634c7,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,1,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""10"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""8"", ""esg_clause"": ""1""}",13,30.0,204.0,330.0,504.0,834.0,0.39568345323741005,0.0,0.0,0.0,0.0,37.5,52.5,0.04127,,0
merger_NEU_NEU_acq_fou_r02_32a8d8,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,2,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,0.0,0.0,57.5,52.5,0.04567000000000001,Impasse: both agents take BATNA.,0
merger_NEU_NEU_acq_fou_r03_63d979,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,3,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""50"", ""founder_equity_pct"": ""10"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""2""}",10,218.0,122.0,518.0,422.0,940.0,0.551063829787234,0.0,0.0,7.5,7.5,57.5,52.5,0.029729999999999996,,0
merger_NEU_NEU_acq_fou_r04_e07ea3,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,4,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""50"", ""founder_equity_pct"": ""5"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""1""}",10,192.0,48.0,492.0,348.0,840.0,0.5857142857142857,0.0,0.0,0.0,0.0,57.5,42.5,0.030060000000000003,,0
merger_NEU_NEU_fou_acq_r00_30b3bf,merger,integrative,NEUTRAL,NEUTRAL,founder,acquirer,0,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,0.0,0.0,42.5,52.5,0.04282999999999999,Impasse: both agents take BATNA.,0
merger_NEU_NEU_fou_acq_r01_435bf5,merger,integrative,NEUTRAL,NEUTRAL,founder,acquirer,1,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""8"", ""esg_clause"": ""2""}",8,278.0,56.0,578.0,356.0,934.0,0.6188436830835118,27.5,25.0,50.0,26.5,37.5,60.0,0.02481,,0
merger_NEU_NEU_fou_acq_r02_9614f5,merger,integrative,NEUTRAL,NEUTRAL,founder,acquirer,2,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""45"", ""founder_equity_pct"": ""5"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""2""}",13,58.0,282.0,358.0,582.0,940.0,0.38085106382978723,0.0,0.0,0.0,0.0,47.5,57.5,0.04005,,0
merger_NEU_NEU_fou_acq_r03_b9465c,merger,integrative,NEUTRAL,NEUTRAL,founder,acquirer,3,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""50"", ""founder_equity_pct"": ""10"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""2""}",7,122.0,218.0,422.0,518.0,940.0,0.44893617021276594,0.0,0.0,0.0,0.0,42.5,67.5,0.01952,,0
merger_NEU_NEU_fou_acq_r04_846833,merger,integrative,NEUTRAL,NEUTRAL,founder,acquirer,4,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,0.0,0.0,37.5,37.5,0.04444000000000001,Impasse: both agents take BATNA.,0
merger_NEU_WAR_acq_fou_r00_ee6d62,merger,integrative,NEUTRAL,WARMTH,acquirer,founder,0,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,91.0,7.5,47.5,70.0,0.04737,Impasse: both agents take BATNA.,0
merger_NEU_WAR_acq_fou_r01_f5085b,merger,integrative,NEUTRAL,WARMTH,acquirer,founder,1,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""10"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""10"", ""esg_clause"": ""1""}",13,12.0,264.0,312.0,564.0,876.0,0.3561643835616438,0.0,0.0,91.0,4.0,47.5,37.5,0.040959999999999996,,0
merger_NEU_WAR_acq_fou_r02_54ead4,merger,integrative,NEUTRAL,WARMTH,acquirer,founder,2,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""45"", ""founder_equity_pct"": ""10"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""8"", ""esg_clause"": ""1""}",9,190.0,112.0,490.0,412.0,902.0,0.5432372505543237,12.5,7.5,88.5,4.0,76.0,47.5,0.02761,,0
merger_NEU_WAR_acq_fou_r03_6996f5,merger,integrative,NEUTRAL,WARMTH,acquirer,founder,3,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,91.0,7.5,42.5,51.0,0.04827000000000001,Impasse: both agents take BATNA.,0
merger_NEU_WAR_acq_fou_r04_f96c62,merger,integrative,NEUTRAL,WARMTH,acquirer,founder,4,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,91.0,4.0,47.5,62.5,0.04820000000000001,Impasse: both agents take BATNA.,0
merger_NEU_WAR_fou_acq_r00_f7a669,merger,integrative,NEUTRAL,WARMTH,founder,acquirer,0,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,88.5,2.5,27.5,42.5,0.04605999999999999,Impasse: both agents take BATNA.,0
merger_NEU_WAR_fou_acq_r01_cee3e8,merger,integrative,NEUTRAL,WARMTH,founder,acquirer,1,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,17.5,20.0,88.5,39.0,37.5,42.5,0.05102,Impasse: both agents take BATNA.,0
merger_NEU_WAR_fou_acq_r02_96bcb7,merger,integrative,NEUTRAL,WARMTH,founder,acquirer,2,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""10"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""8"", ""esg_clause"": ""1""}",8,204.0,30.0,504.0,330.0,834.0,0.60431654676259,0.0,0.0,85.0,7.5,27.5,60.0,0.02492,,0
merger_NEU_WAR_fou_acq_r03_5cbe5e,merger,integrative,NEUTRAL,WARMTH,founder,acquirer,3,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,88.5,7.5,87.5,32.5,0.04515,Impasse: both agents take BATNA.,0
merger_NEU_WAR_fou_acq_r04_b7d8a5,merger,integrative,NEUTRAL,WARMTH,founder,acquirer,4,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""10"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""8"", ""esg_clause"": ""1""}",6,204.0,30.0,504.0,330.0,834.0,0.60431654676259,0.0,0.0,87.5,7.5,32.5,76.0,0.01849,,0
merger_NEU_DOM_acq_fou_r00_a33d8d,merger,integrative,NEUTRAL,DOMINANCE,acquirer,founder,0,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,7.5,37.5,37.5,12.5,0.045880000000000004,Impasse: both agents take BATNA.,0
merger_NEU_DOM_acq_fou_r01_c14e53,merger,integrative,NEUTRAL,DOMINANCE,acquirer,founder,1,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,0.0,0.0,27.5,57.5,0.040459999999999996,Impasse: both agents take BATNA.,0
merger_NEU_DOM_acq_fou_r02_2f92cc,merger,integrative,NEUTRAL,DOMINANCE,acquirer,founder,2,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,0.0,0.0,42.5,62.5,0.04313,Impasse: both agents take BATNA.,0
merger_NEU_DOM_acq_fou_r03_b5ac7c,merger,integrative,NEUTRAL,DOMINANCE,acquirer,founder,3,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""59"", ""founder_equity_pct"": ""13"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""2""}",14,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,7.5,88.5,71.0,42.5,0.050629999999999994,"Payoff lookup error for acquirer: ""Value '59' not found in payoff card for issue 'cash_price_musd'. Available: [40, 45, 50, 55, 60, 65]""; Payoff lookup error for founder: ""Value '59' not found in payoff card for issue 'cash_price_musd'. Available: [40, 45, 50, 55, 60, 65]""",0
merger_NEU_DOM_acq_fou_r04_6c8065,merger,integrative,NEUTRAL,DOMINANCE,acquirer,founder,4,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""50"", ""founder_equity_pct"": ""10"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""1""}",8,168.0,72.0,468.0,372.0,840.0,0.5571428571428572,0.0,0.0,7.5,10.0,57.5,62.5,0.023110000000000002,,0
merger_NEU_DOM_fou_acq_r00_3b4b03,merger,integrative,NEUTRAL,DOMINANCE,founder,acquirer,0,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,2.5,37.5,71.0,62.5,0.04312,Impasse: both agents take BATNA.,0
merger_NEU_DOM_fou_acq_r01_c8a200,merger,integrative,NEUTRAL,DOMINANCE,founder,acquirer,1,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""50"", ""founder_equity_pct"": ""10"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""10"", ""esg_clause"": ""1""}",8,224.0,52.0,524.0,352.0,876.0,0.5981735159817352,0.0,0.0,0.0,0.0,37.5,76.0,0.023690000000000003,,0
merger_NEU_DOM_fou_acq_r02_cf2f0a,merger,integrative,NEUTRAL,DOMINANCE,founder,acquirer,2,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,2.5,37.5,37.5,62.5,0.04286999999999999,Impasse: both agents take BATNA.,0
merger_NEU_DOM_fou_acq_r03_be2df4,merger,integrative,NEUTRAL,DOMINANCE,founder,acquirer,3,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""50"", ""founder_equity_pct"": ""5"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""1""}",14,48.0,192.0,348.0,492.0,840.0,0.4142857142857143,0.0,0.0,2.5,7.5,22.5,52.5,0.04170999999999999,,0
merger_NEU_DOM_fou_acq_r04_b2f836,merger,integrative,NEUTRAL,DOMINANCE,founder,acquirer,4,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,0.0,12.5,52.5,67.5,0.04121,Impasse: both agents take BATNA.,0
merger_NEU_COT_acq_fou_r00_dfbc9c,merger,integrative,NEUTRAL,COT_ONLY,acquirer,founder,0,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""50"", ""founder_equity_pct"": ""5"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""1""}",4,192.0,48.0,492.0,348.0,840.0,0.5857142857142857,0.0,0.0,7.5,0.0,47.5,62.5,0.01119,,0
merger_NEU_COT_acq_fou_r01_5e5c1e,merger,integrative,NEUTRAL,COT_ONLY,acquirer,founder,1,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""50"", ""founder_equity_pct"": ""5"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""1""}",10,192.0,48.0,492.0,348.0,840.0,0.5857142857142857,0.0,0.0,0.0,0.0,71.0,52.5,0.0273,,0
merger_NEU_COT_acq_fou_r02_fb61a5,merger,integrative,NEUTRAL,COT_ONLY,acquirer,founder,2,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""10"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""8"", ""esg_clause"": ""1""}",5,30.0,204.0,330.0,504.0,834.0,0.39568345323741005,7.5,10.0,0.0,0.0,76.0,37.5,0.014379999999999999,,0
merger_NEU_COT_acq_fou_r03_b5354f,merger,integrative,NEUTRAL,COT_ONLY,acquirer,founder,3,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""50"", ""founder_equity_pct"": ""5"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""1""}",6,112.0,60.0,412.0,360.0,772.0,0.533678756476684,0.0,0.0,12.5,7.5,73.5,52.5,0.015479999999999997,,0
merger_NEU_COT_acq_fou_r04_8d6975,merger,integrative,NEUTRAL,COT_ONLY,acquirer,founder,4,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,7.5,2.5,0.0,0.0,52.5,60.0,0.04257999999999999,Impasse: both agents take BATNA.,0
merger_NEU_COT_fou_acq_r00_75800d,merger,integrative,NEUTRAL,COT_ONLY,founder,acquirer,0,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,0.0,0.0,37.5,42.5,0.03711999999999999,Impasse: both agents take BATNA.,0
merger_NEU_COT_fou_acq_r01_3663dc,merger,integrative,NEUTRAL,COT_ONLY,founder,acquirer,1,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""50"", ""founder_equity_pct"": ""10"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""8"", ""esg_clause"": ""1""}",10,164.0,70.0,464.0,370.0,834.0,0.5563549160671463,42.5,25.0,2.5,7.5,37.5,47.5,0.028589999999999997,,0
merger_NEU_COT_fou_acq_r02_785e46,merger,integrative,NEUTRAL,COT_ONLY,founder,acquirer,2,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""10"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""1""}",6,124.0,48.0,424.0,348.0,772.0,0.5492227979274611,0.0,0.0,7.5,5.0,32.5,70.0,0.01645,,0
merger_NEU_COT_fou_acq_r03_aab4a4,merger,integrative,NEUTRAL,COT_ONLY,founder,acquirer,3,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,0.0,0.0,37.5,37.5,0.03883,Impasse: both agents take BATNA.,0
merger_NEU_COT_fou_acq_r04_6cc2e7,merger,integrative,NEUTRAL,COT_ONLY,founder,acquirer,4,grok-4.3,grok-4.3,1,"{""cash_price_musd"": 50, ""founder_equity_pct"": 10, ""integration_months"": 18, ""brand_retention_yrs"": 8, ""esg_clause"": 1}",14,164.0,70.0,464.0,370.0,834.0,0.5563549160671463,0.0,0.0,2.5,7.5,27.5,57.5,0.043039999999999995,,0
merger_NEU_SPE_acq_fou_r00_9bd5a0,merger,integrative,NEUTRAL,SPEC_NOCOT,acquirer,founder,0,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""50"", ""founder_equity_pct"": ""10"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""2""}",4,218.0,122.0,518.0,422.0,940.0,0.551063829787234,12.5,0.0,7.5,0.0,57.5,70.0,0.012609999999999998,,0
merger_NEU_SPE_acq_fou_r01_9a91b4,merger,integrative,NEUTRAL,SPEC_NOCOT,acquirer,founder,1,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""8"", ""esg_clause"": ""2""}",9,136.0,266.0,436.0,566.0,1002.0,0.4351297405189621,0.0,0.0,0.0,0.0,67.5,32.5,0.02768,,0
merger_NEU_SPE_acq_fou_r02_db35d6,merger,integrative,NEUTRAL,SPEC_NOCOT,acquirer,founder,2,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""50"", ""founder_equity_pct"": ""5"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""2""}",6,242.0,98.0,542.0,398.0,940.0,0.5765957446808511,0.0,0.0,12.5,7.5,71.0,47.5,0.017810000000000003,,0
merger_NEU_SPE_acq_fou_r03_e9cc1d,merger,integrative,NEUTRAL,SPEC_NOCOT,acquirer,founder,3,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""5"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""2""}",6,202.0,138.0,502.0,438.0,940.0,0.5340425531914894,0.0,0.0,12.5,7.5,57.5,47.5,0.01753,,0
merger_NEU_SPE_acq_fou_r04_104b92,merger,integrative,NEUTRAL,SPEC_NOCOT,acquirer,founder,4,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""10"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""1""}",9,48.0,124.0,348.0,424.0,772.0,0.45077720207253885,0.0,0.0,0.0,0.0,60.0,32.5,0.02664,,0
merger_NEU_SPE_fou_acq_r00_0691c7,merger,integrative,NEUTRAL,SPEC_NOCOT,founder,acquirer,0,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""50"", ""founder_equity_pct"": ""10"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""2""}",13,122.0,218.0,422.0,518.0,940.0,0.44893617021276594,0.0,0.0,0.0,0.0,57.5,57.5,0.042649999999999993,,0
merger_NEU_SPE_fou_acq_r01_c6e2bd,merger,integrative,NEUTRAL,SPEC_NOCOT,founder,acquirer,1,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""10"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""8"", ""esg_clause"": ""1""}",8,204.0,30.0,504.0,330.0,834.0,0.60431654676259,0.0,0.0,0.0,0.0,32.5,72.5,0.025189999999999997,,0
merger_NEU_SPE_fou_acq_r02_ddd6ea,merger,integrative,NEUTRAL,SPEC_NOCOT,founder,acquirer,2,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,2.5,0.0,0.0,0.0,56.0,37.5,0.04921999999999999,Impasse: both agents take BATNA.,0
merger_NEU_SPE_fou_acq_r03_77c69e,merger,integrative,NEUTRAL,SPEC_NOCOT,founder,acquirer,3,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""10"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""8"", ""esg_clause"": ""1""}",6,192.0,110.0,492.0,410.0,902.0,0.5454545454545454,0.0,0.0,7.5,2.5,42.5,73.5,0.01798,,0
merger_NEU_SPE_fou_acq_r04_496ea4,merger,integrative,NEUTRAL,SPEC_NOCOT,founder,acquirer,4,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""8"", ""esg_clause"": ""1""}",6,228.0,6.0,528.0,306.0,834.0,0.6330935251798561,0.0,0.0,7.5,2.5,32.5,67.5,0.017189999999999997,,0
merger_NEU_SPE_acq_fou_r00_4304f9,merger,integrative,NEUTRAL,SPEC_COT,acquirer,founder,0,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,2.5,0.0,37.5,76.0,0.042910000000000004,Impasse: both agents take BATNA.,0
merger_NEU_SPE_acq_fou_r01_ef8ee5,merger,integrative,NEUTRAL,SPEC_COT,acquirer,founder,1,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""50"", ""founder_equity_pct"": ""10"", ""integration_months"": ""36"", ""brand_retention_yrs"": ""8"", ""esg_clause"": ""2""}",11,300.0,178.0,600.0,478.0,1078.0,0.5565862708719852,0.0,0.0,2.5,0.0,57.5,22.5,0.03440000000000001,,0
merger_NEU_SPE_acq_fou_r02_b5bd13,merger,integrative,NEUTRAL,SPEC_COT,acquirer,founder,2,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""45"", ""founder_equity_pct"": ""5"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""1""}",4,232.0,8.0,532.0,308.0,840.0,0.6333333333333333,12.5,7.5,7.5,0.0,47.5,82.5,0.01244,,0
merger_NEU_SPE_acq_fou_r03_57cf65,merger,integrative,NEUTRAL,SPEC_COT,acquirer,founder,3,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,0.0,0.0,2.5,0.0,75.0,12.5,0.044090000000000004,Impasse: both agents take BATNA.,0
merger_NEU_SPE_acq_fou_r04_a06a7b,merger,integrative,NEUTRAL,SPEC_COT,acquirer,founder,4,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""50"", ""founder_equity_pct"": ""10"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""10"", ""esg_clause"": ""2""}",13,182.0,262.0,482.0,562.0,1044.0,0.4616858237547893,0.0,0.0,0.0,0.0,57.5,22.5,0.04043,,0
merger_NEU_SPE_fou_acq_r00_8ddf96,merger,integrative,NEUTRAL,SPEC_COT,founder,acquirer,0,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""10"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""8"", ""esg_clause"": ""1""}",8,192.0,110.0,492.0,410.0,902.0,0.5454545454545454,0.0,0.0,7.5,5.0,37.5,57.5,0.022709999999999998,,0
merger_NEU_SPE_fou_acq_r01_cc8a77,merger,integrative,NEUTRAL,SPEC_COT,founder,acquirer,1,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""50"", ""founder_equity_pct"": ""15"", ""integration_months"": ""12"", ""brand_retention_yrs"": ""10"", ""esg_clause"": ""2""}",8,310.0,18.0,610.0,318.0,928.0,0.6573275862068966,0.0,0.0,7.5,10.0,32.5,47.5,0.022389999999999993,,0
merger_NEU_SPE_fou_acq_r02_e4314b,merger,integrative,NEUTRAL,SPEC_COT,founder,acquirer,2,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""45"", ""founder_equity_pct"": ""5"", ""integration_months"": ""36"", ""brand_retention_yrs"": ""10"", ""esg_clause"": ""2""}",9,174.0,346.0,474.0,646.0,1120.0,0.4232142857142857,0.0,0.0,0.0,0.0,52.5,42.5,0.027409999999999993,,0
merger_NEU_SPE_fou_acq_r03_435a2a,merger,integrative,NEUTRAL,SPEC_COT,founder,acquirer,3,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""40"", ""founder_equity_pct"": ""0"", ""integration_months"": ""36"", ""brand_retention_yrs"": ""10"", ""esg_clause"": ""2""}",7,110.0,410.0,410.0,710.0,1120.0,0.36607142857142855,0.0,0.0,2.5,7.5,57.5,42.5,0.01952,,0
merger_NEU_SPE_fou_acq_r04_3b8c99,merger,integrative,NEUTRAL,SPEC_COT,founder,acquirer,4,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""50"", ""founder_equity_pct"": ""10"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""8"", ""esg_clause"": ""1""}",10,164.0,70.0,464.0,370.0,834.0,0.5563549160671463,0.0,0.0,7.5,5.0,37.5,60.0,0.02756,,0
merger_WAR_WAR_acq_fou_r00_ff3956,merger,integrative,WARMTH,WARMTH,acquirer,founder,0,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,93.5,7.5,95.0,7.5,67.5,47.5,0.0528,Impasse: both agents take BATNA.,0
merger_WAR_WAR_acq_fou_r01_551bed,merger,integrative,WARMTH,WARMTH,acquirer,founder,1,grok-4.3,grok-4.3,1,"{""cash_price_musd"": 50, ""founder_equity_pct"": 5, ""integration_months"": 24, ""brand_retention_yrs"": 5, ""esg_clause"": 1}",4,192.0,48.0,492.0,348.0,840.0,0.5857142857142857,93.5,7.5,87.5,7.5,57.5,86.0,0.01355,,0
merger_WAR_WAR_acq_fou_r02_55504a,merger,integrative,WARMTH,WARMTH,acquirer,founder,2,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,93.5,7.5,93.5,2.5,52.5,76.0,0.05241,Impasse: both agents take BATNA.,0
merger_WAR_WAR_acq_fou_r03_f7cd55,merger,integrative,WARMTH,WARMTH,acquirer,founder,3,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,88.5,7.5,91.0,2.5,37.5,57.5,0.053720000000000004,Impasse: both agents take BATNA.,0
merger_WAR_WAR_acq_fou_r04_e5b1d7,merger,integrative,WARMTH,WARMTH,acquirer,founder,4,grok-4.3,grok-4.3,0,,,0.0,0.0,300.0,300.0,600.0,0.5,91.0,7.5,95.0,2.5,42.5,57.5,0.05354,Impasse: both agents take BATNA.,0
merger_WAR_WAR_fou_acq_r00_525011,merger,integrative,WARMTH,WARMTH,founder,acquirer,0,grok-4.3,grok-4.3,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""8"", ""esg_clause"": ""1""}",4,228.0,6.0,528.0,306.0,834.0,0.6330935251798561,91.0,7.5,87.5,7.5,52.5,86.0,0.012660000000000001,,0
