dyad_id,scenario_id,scenario_type,cond_a,cond_b,role_a,role_b,replicate,model_a,model_b,deal,deal_terms_json,rounds_to_deal,value_claimed_a,value_claimed_b,points_a,points_b,value_created,split,warmth_a_mean,dominance_a_mean,warmth_b_mean,dominance_b_mean,svi_a_mean,svi_b_mean,cost_usd_est,notes,mock
supplier_h10_NEU_NEU_buy_sup_r00_f86cd1,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,0,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""12"", ""volume_commit_kunits"": ""200"", ""payment_terms_days"": ""30"", ""warranty_years"": ""1""}",8,141.0,459.0,321.0,639.0,960.0,0.334375,,,,,,,0.00109,,0
supplier_h10_NEU_NEU_buy_sup_r01_8dc774,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,1,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""12"", ""volume_commit_kunits"": ""200"", ""payment_terms_days"": ""30"", ""warranty_years"": ""1""}",6,141.0,459.0,321.0,639.0,960.0,0.334375,,,,,,,0.0007800000000000001,,0
supplier_h10_NEU_NEU_buy_sup_r02_d3dfe7,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,2,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""10"", ""volume_commit_kunits"": ""200"", ""payment_terms_days"": ""30"", ""warranty_years"": ""1""}",14,205.0,395.0,385.0,575.0,960.0,0.4010416666666667,,,,,,,0.00221,,0
supplier_h10_NEU_NEU_buy_sup_r03_f6905a,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,3,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.00223,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_buy_sup_r04_e26eab,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,4,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""15"", ""volume_commit_kunits"": ""150"", ""payment_terms_days"": ""30"", ""warranty_years"": ""2""}",12,23.0,505.0,203.0,685.0,888.0,0.2286036036036036,,,,,,,0.00179,,0
supplier_h10_NEU_NEU_buy_sup_r05_7c2633,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,5,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.00223,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_buy_sup_r06_ce11d7,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,6,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.00223,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_buy_sup_r07_addbbd,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,7,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""11"", ""volume_commit_kunits"": ""200"", ""payment_terms_days"": ""30"", ""warranty_years"": ""1""}",14,173.0,427.0,353.0,607.0,960.0,0.36770833333333336,,,,,,,0.00221,,0
supplier_h10_NEU_NEU_buy_sup_r08_e8b3c3,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,8,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""12"", ""volume_commit_kunits"": ""150"", ""payment_terms_days"": ""30"", ""warranty_years"": ""1""}",10,111.0,429.0,291.0,609.0,900.0,0.3233333333333333,,,,,,,0.0014299999999999998,,0
supplier_h10_NEU_NEU_buy_sup_r09_aab86f,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,9,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.0022299999999999998,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_buy_sup_r10_bb0d01,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,10,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""11"", ""volume_commit_kunits"": ""150"", ""payment_terms_days"": ""30"", ""warranty_years"": ""1""}",14,143.0,397.0,323.0,577.0,900.0,0.35888888888888887,,,,,,,0.00221,,0
supplier_h10_NEU_NEU_buy_sup_r11_32ca9b,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,11,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""12"", ""volume_commit_kunits"": ""200"", ""payment_terms_days"": ""30"", ""warranty_years"": ""1""}",14,141.0,459.0,321.0,639.0,960.0,0.334375,,,,,,,0.00221,,0
supplier_h10_NEU_NEU_buy_sup_r12_45c8d2,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,12,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""10"", ""volume_commit_kunits"": ""200"", ""payment_terms_days"": ""30"", ""warranty_years"": ""1""}",12,205.0,395.0,385.0,575.0,960.0,0.4010416666666667,,,,,,,0.00179,,0
supplier_h10_NEU_NEU_buy_sup_r13_a885f9,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,13,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""12"", ""volume_commit_kunits"": ""200"", ""payment_terms_days"": ""30"", ""warranty_years"": ""1""}",14,141.0,459.0,321.0,639.0,960.0,0.334375,,,,,,,0.00221,,0
supplier_h10_NEU_NEU_buy_sup_r14_f97913,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,14,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""12"", ""volume_commit_kunits"": ""200"", ""payment_terms_days"": ""30"", ""warranty_years"": ""1""}",14,141.0,459.0,321.0,639.0,960.0,0.334375,,,,,,,0.0022099999999999997,,0
supplier_h10_NEU_NEU_buy_sup_r15_48ec1c,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,15,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.0022299999999999998,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_buy_sup_r16_32d8de,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,16,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""12"", ""volume_commit_kunits"": ""200"", ""payment_terms_days"": ""30"", ""warranty_years"": ""1""}",14,141.0,459.0,321.0,639.0,960.0,0.334375,,,,,,,0.00221,,0
supplier_h10_NEU_NEU_buy_sup_r17_faf5d2,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,17,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.00223,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_buy_sup_r18_8932ca,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,18,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.0022299999999999998,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_buy_sup_r19_714cdd,supplier_h10,integrative,NEUTRAL,NEUTRAL,buyer,supplier,19,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""12"", ""volume_commit_kunits"": ""200"", ""payment_terms_days"": ""30"", ""warranty_years"": ""1""}",14,141.0,459.0,321.0,639.0,960.0,0.334375,,,,,,,0.00221,,0
supplier_h10_NEU_NEU_sup_buy_r00_71a4f1,supplier_h10,integrative,NEUTRAL,NEUTRAL,supplier,buyer,0,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.0022299999999999998,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_sup_buy_r01_5fe63b,supplier_h10,integrative,NEUTRAL,NEUTRAL,supplier,buyer,1,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""14"", ""volume_commit_kunits"": ""150"", ""payment_terms_days"": ""15"", ""warranty_years"": ""1""}",13,488.0,52.0,668.0,232.0,900.0,0.7422222222222222,,,,,,,0.002,,0
supplier_h10_NEU_NEU_sup_buy_r02_d3e972,supplier_h10,integrative,NEUTRAL,NEUTRAL,supplier,buyer,2,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""12"", ""volume_commit_kunits"": ""150"", ""payment_terms_days"": ""30"", ""warranty_years"": ""2""}",3,409.0,119.0,589.0,299.0,888.0,0.6632882882882883,,,,,,,0.0004,,0
supplier_h10_NEU_NEU_sup_buy_r03_bfaacf,supplier_h10,integrative,NEUTRAL,NEUTRAL,supplier,buyer,3,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.0022299999999999998,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_sup_buy_r04_295a13,supplier_h10,integrative,NEUTRAL,NEUTRAL,supplier,buyer,4,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.0022299999999999998,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_sup_buy_r05_4702e6,supplier_h10,integrative,NEUTRAL,NEUTRAL,supplier,buyer,5,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.00223,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_sup_buy_r06_6ca4b1,supplier_h10,integrative,NEUTRAL,NEUTRAL,supplier,buyer,6,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.0022299999999999998,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_sup_buy_r07_791c24,supplier_h10,integrative,NEUTRAL,NEUTRAL,supplier,buyer,7,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.00223,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_sup_buy_r08_dac191,supplier_h10,integrative,NEUTRAL,NEUTRAL,supplier,buyer,8,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""12"", ""volume_commit_kunits"": ""150"", ""payment_terms_days"": ""30"", ""warranty_years"": ""2""}",3,409.0,119.0,589.0,299.0,888.0,0.6632882882882883,,,,,,,0.0004,,0
supplier_h10_NEU_NEU_sup_buy_r09_a8d670,supplier_h10,integrative,NEUTRAL,NEUTRAL,supplier,buyer,9,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""12"", ""volume_commit_kunits"": ""150"", ""payment_terms_days"": ""30"", ""warranty_years"": ""2""}",3,409.0,119.0,589.0,299.0,888.0,0.6632882882882883,,,,,,,0.0004,,0
supplier_h10_NEU_NEU_sup_buy_r10_14847f,supplier_h10,integrative,NEUTRAL,NEUTRAL,supplier,buyer,10,gpt-4o-mini,gpt-4o-mini,1,"{""unit_price_usd"": ""12"", ""volume_commit_kunits"": ""150"", ""payment_terms_days"": ""30"", ""warranty_years"": ""2""}",3,409.0,119.0,589.0,299.0,888.0,0.6632882882882883,,,,,,,0.0004,,0
supplier_h10_NEU_NEU_sup_buy_r11_c43658,supplier_h10,integrative,NEUTRAL,NEUTRAL,supplier,buyer,11,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.00223,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_sup_buy_r12_434832,supplier_h10,integrative,NEUTRAL,NEUTRAL,supplier,buyer,12,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.00223,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_sup_buy_r13_3c8548,supplier_h10,integrative,NEUTRAL,NEUTRAL,supplier,buyer,13,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.0022299999999999998,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_sup_buy_r14_66093c,supplier_h10,integrative,NEUTRAL,NEUTRAL,supplier,buyer,14,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.0022299999999999998,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_sup_buy_r15_6297b3,supplier_h10,integrative,NEUTRAL,NEUTRAL,supplier,buyer,15,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.00223,Impasse: both agents take BATNA.,0
supplier_h10_NEU_NEU_sup_buy_r16_3d4b45,supplier_h10,integrative,NEUTRAL,NEUTRAL,supplier,buyer,16,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,180.0,180.0,360.0,0.5,,,,,,,0.00223,Impasse: both agents take BATNA.,0
