dyad_id,scenario_id,scenario_type,cond_a,cond_b,role_a,role_b,replicate,model_a,model_b,deal,deal_terms_json,rounds_to_deal,value_claimed_a,value_claimed_b,points_a,points_b,value_created,split,warmth_a_mean,dominance_a_mean,warmth_b_mean,dominance_b_mean,svi_a_mean,svi_b_mean,cost_usd_est,notes,mock
merger_NEU_NEU_acq_fou_r00_e152f9,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,0,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""60"", ""founder_equity_pct"": ""15"", ""integration_months"": ""12"", ""brand_retention_yrs"": ""0"", ""esg_clause"": ""2""}",14,-2.0,70.0,298.0,370.0,668.0,0.44610778443113774,12.5,25.0,7.5,25.0,12.5,87.5,0.013240000000000002,Agent A (acquirer) accepted a deal below BATNA (298.0 < 300.0).,0
merger_NEU_NEU_acq_fou_r01_a634c7,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,1,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""10"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""2""}",4,110.0,74.0,410.0,374.0,784.0,0.5229591836734694,17.5,25.0,32.5,22.5,42.5,87.5,0.00603,,0
merger_NEU_NEU_acq_fou_r02_32a8d8,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,2,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",4,36.0,48.0,336.0,348.0,684.0,0.49122807017543857,22.5,26.5,17.5,20.0,37.5,87.5,0.006520000000000001,,0
merger_NEU_NEU_acq_fou_r03_63d979,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,3,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""10"", ""integration_months"": ""12"", ""brand_retention_yrs"": ""8"", ""esg_clause"": ""2""}",7,20.0,266.0,320.0,566.0,886.0,0.3611738148984199,7.5,2.5,0.0,0.0,82.0,47.5,0.00748,,0
merger_NEU_NEU_acq_fou_r04_e07ea3,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,4,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""65"", ""founder_equity_pct"": ""15"", ""integration_months"": ""12"", ""brand_retention_yrs"": ""8"", ""esg_clause"": ""2""}",13,-84.0,370.0,216.0,670.0,886.0,0.24379232505643342,0.0,0.0,12.5,25.0,76.0,12.5,0.012029999999999999,Agent A (acquirer) accepted a deal below BATNA (216.0 < 300.0).,0
merger_NEU_NEU_acq_fou_r05_e565fc,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,5,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",4,36.0,48.0,336.0,348.0,684.0,0.49122807017543857,22.5,25.0,37.5,20.0,42.5,79.0,0.006900000000000001,,0
merger_NEU_NEU_acq_fou_r06_0e1de7,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,6,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""5"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",4,84.0,0.0,384.0,300.0,684.0,0.5614035087719298,22.5,25.0,37.5,25.0,42.5,75.0,0.00652,,0
merger_NEU_NEU_acq_fou_r07_4c86c9,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,7,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""65"", ""founder_equity_pct"": ""0"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""0"", ""esg_clause"": ""2""}",4,90.0,26.0,390.0,326.0,716.0,0.5446927374301676,22.5,25.0,37.5,20.0,37.5,87.5,0.007390000000000001,,0
merger_NEU_NEU_fou_acq_r00_30b3bf,merger,integrative,NEUTRAL,NEUTRAL,founder,acquirer,0,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""10"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",9,12.0,140.0,312.0,440.0,752.0,0.4148936170212766,12.5,12.5,12.5,25.0,89.0,7.5,0.01138,,0
merger_NEU_NEU_fou_acq_r01_435bf5,merger,integrative,NEUTRAL,NEUTRAL,founder,acquirer,1,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",3,48.0,36.0,348.0,336.0,684.0,0.5087719298245614,12.5,0.0,7.5,10.0,87.5,37.5,0.006720000000000001,,0
