dyad_id,scenario_id,scenario_type,cond_a,cond_b,role_a,role_b,replicate,model_a,model_b,deal,deal_terms_json,rounds_to_deal,value_claimed_a,value_claimed_b,points_a,points_b,value_created,split,warmth_a_mean,dominance_a_mean,warmth_b_mean,dominance_b_mean,svi_a_mean,svi_b_mean,cost_usd_est,notes,mock
merger_NEU_NEU_acq_fou_r00_e152f9,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,0,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""5"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""1""}",4,72.0,100.0,372.0,400.0,772.0,0.48186528497409326,22.5,25.0,12.5,12.5,37.5,87.5,0.00082,,0
merger_NEU_NEU_acq_fou_r01_a634c7,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,1,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""65"", ""founder_equity_pct"": ""0"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""0"", ""esg_clause"": ""2""}",8,170.0,14.0,470.0,314.0,784.0,0.5994897959183674,12.5,22.5,32.5,25.0,12.5,86.0,0.00217,,0
merger_NEU_NEU_acq_fou_r02_32a8d8,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,2,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""10"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""1""}",4,48.0,124.0,348.0,424.0,772.0,0.45077720207253885,22.5,25.0,12.5,12.5,42.5,92.5,0.00082,,0
merger_NEU_NEU_acq_fou_r03_63d979,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,3,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,300.0,300.0,600.0,0.5,12.5,25.0,12.5,25.0,12.5,12.5,0.004790000000000001,Impasse: both agents take BATNA.,0
merger_NEU_NEU_acq_fou_r04_e07ea3,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,4,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""5"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",4,84.0,0.0,384.0,300.0,684.0,0.5614035087719298,22.5,25.0,37.5,25.0,42.5,75.0,0.00082,,0
merger_NEU_NEU_fou_acq_r00_30b3bf,merger,integrative,NEUTRAL,NEUTRAL,founder,acquirer,0,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",3,48.0,36.0,348.0,336.0,684.0,0.5087719298245614,17.5,7.5,17.5,12.5,87.5,37.5,0.00057,,0
merger_NEU_NEU_fou_acq_r01_435bf5,merger,integrative,NEUTRAL,NEUTRAL,founder,acquirer,1,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",3,48.0,36.0,348.0,336.0,684.0,0.5087719298245614,22.5,7.5,17.5,12.5,79.0,12.5,0.00058,,0
merger_NEU_NEU_fou_acq_r02_9614f5,merger,integrative,NEUTRAL,NEUTRAL,founder,acquirer,2,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""24"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",3,36.0,116.0,336.0,416.0,752.0,0.44680851063829785,22.5,7.5,17.5,25.0,84.0,12.5,0.00058,,0
merger_NEU_NEU_fou_acq_r03_b9465c,merger,integrative,NEUTRAL,NEUTRAL,founder,acquirer,3,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",3,48.0,36.0,348.0,336.0,684.0,0.5087719298245614,27.5,7.5,17.5,12.5,87.5,12.5,0.00058,,0
merger_NEU_NEU_fou_acq_r04_846833,merger,integrative,NEUTRAL,NEUTRAL,founder,acquirer,4,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",3,48.0,36.0,348.0,336.0,684.0,0.5087719298245614,22.5,7.5,22.5,12.5,79.0,12.5,0.00058,,0
