# Table 1: Descriptive statistics by agent condition and scenario.
agent_type,scenario_id,n,deal_mean,deal_sd,value_claimed_mean,value_claimed_sd,value_created_mean,value_created_sd
COT_ONLY,merger,16,0.56,0.51,73.25,126.07,722.5,120.8
COT_ONLY,supplier,16,0.94,0.25,284.94,186.09,888.75,158.32
COT_ONLY_p1,merger,16,0.5,0.52,43.12,128.62,698.5,126.25
COT_ONLY_p1,supplier,16,0.94,0.25,265.25,190.69,840.0,168.29
COT_ONLY_p2,merger,16,0.44,0.51,52.62,115.77,689.0,111.41
COT_ONLY_p2,supplier,16,0.88,0.34,273.88,195.94,823.75,214.44
COT_ONLY_p3,merger,16,0.44,0.51,17.5,86.82,662.25,85.28
COT_ONLY_p3,supplier,16,1.0,0.0,260.5,160.46,870.0,100.4
COT_ONLY_p4,merger,16,0.44,0.51,21.75,74.98,656.5,87.12
COT_ONLY_p4,supplier,16,0.94,0.25,287.69,183.34,892.5,159.31
NEUTRAL,merger,336,0.79,0.4,64.62,85.89,725.16,94.69
NEUTRAL,supplier,336,0.78,0.42,194.79,166.66,758.21,237.19
NEUTRAL_p1,merger,16,0.88,0.34,60.12,61.83,731.75,83.14
NEUTRAL_p1,supplier,16,0.31,0.48,87.81,167.43,547.5,287.23
NEUTRAL_p2,merger,16,0.81,0.4,44.12,30.62,701.0,79.47
NEUTRAL_p2,supplier,16,0.38,0.5,69.38,97.37,551.25,262.19
NEUTRAL_p3,merger,16,0.88,0.34,48.62,39.34,729.12,89.2
NEUTRAL_p3,supplier,16,0.75,0.45,182.25,111.03,720.0,227.68
NEUTRAL_p4,merger,16,0.88,0.34,36.38,20.1,699.75,67.8
NEUTRAL_p4,supplier,16,0.5,0.52,112.5,116.19,630.0,278.85
SPEC_NOCOT,merger,16,1.0,0.0,137.5,66.8,814.25,53.78
SPEC_NOCOT,supplier,16,0.38,0.5,69.25,95.8,573.75,285.63
SPEC_NOCOT_p1,merger,16,1.0,0.0,35.88,39.95,692.25,61.23
SPEC_NOCOT_p1,supplier,16,0.81,0.4,210.25,149.03,760.0,218.36
SPEC_NOCOT_p2,merger,16,1.0,0.0,48.25,39.77,715.5,49.18
SPEC_NOCOT_p2,supplier,16,0.75,0.45,247.56,193.5,768.75,250.01
SPEC_NOCOT_p3,merger,16,0.88,0.34,39.25,21.26,716.88,84.24
SPEC_NOCOT_p3,supplier,16,0.38,0.5,87.75,117.69,551.25,258.51
SPEC_NOCOT_p4,merger,16,0.94,0.25,33.38,35.39,687.5,42.0
SPEC_NOCOT_p4,supplier,16,0.75,0.45,209.25,145.84,731.25,228.97
WARMTH,merger,16,0.94,0.25,94.75,82.04,790.12,82.12
WARMTH,supplier,16,1.0,0.0,274.25,211.85,880.0,116.62
WARMTH_p1,merger,16,1.0,0.0,114.12,102.65,786.88,53.31
WARMTH_p1,supplier,16,1.0,0.0,200.81,163.51,781.25,159.91
WARMTH_p2,merger,16,0.62,0.5,54.12,97.92,727.75,123.72
WARMTH_p2,supplier,16,0.88,0.34,180.19,189.78,716.25,259.66
WARMTH_p3,merger,16,0.69,0.48,59.75,71.8,724.75,107.53
WARMTH_p3,supplier,16,1.0,0.0,264.25,193.44,892.5,90.0
WARMTH_p4,merger,16,0.94,0.25,112.38,76.08,793.12,98.7
WARMTH_p4,supplier,16,1.0,0.0,227.94,173.92,831.25,170.01
